DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd00001_c0	H2O	h2o	OH-|HO-|Water|H2O	C00001|C01328	H2O	0
cpd00002_c0	ATP	atp	Adenosine 5'-triphosphate|ATP	C00002	C10H13N5O13P3	-3
cpd00003_c0	NAD	nad	Nicotinamideadeninedinucleotide|Nadide|Diphosphopyridine nucleotide|DPN|Nicotinamide adenine dinucleotide|NAD|NAD+	C00003	C21H26N7O14P2	-1
cpd00004_c0	NADH	nadh	Nicotinamideadeninedinucleotide-reduced|Nicotinamide adenine dinucleotide - reduced|DPNH|NADH	C00004	C21H27N7O14P2	-2
cpd00005_c0	NADPH	nadph	Nicotinamideadeninedinucleotidephosphate-reduced|Nicotinamide adenine dinucleotide phosphate - reduced|TPNH|NADPH	C00005	C21H27N7O17P3	-3
cpd00006_c0	NADP	nadp	Nicotinamideadeninedinucleotidephosphate|Nicotinamide adenine dinucleotide phosphate -|Triphosphopyridine nucleotide|TPN|beta-Nicotinamide adenine dinucleotide phosphate|Nicotinamide adenine dinucleotide phosphate|NADP|NADP+	C00006	C21H26N7O17P3	-2
cpd00007_c0	O2	o2	dioxygen|O2|Oxygen	C00007	O2	0
cpd00008_c0	ADP	adp	Adenosine 5'-diphosphate|ADP	C00008	C10H13N5O10P2	-2
cpd00009_c0	Phosphate	pi	Orthophosphoric acid|Phosphoric acid|Phosphate|Orthophosphate	C00009	HO4P	-2
cpd00010_c0	CoA	coa	CoenzymeA|CoA-SH|Coenzyme A|CoA	C00010	C21H33N7O16P3S	-3
cpd00011_c0	CO2	co2	Carbon dioxide|CO2	C00011	CO2	0
cpd00012_c0	PPi	ppi	PPi|Diphosphate|Pyrophosphoric acid|Pyrophosphate	C00013	H2O7P2	-2
cpd00013_c0	NH3	nh4	NH4plus|NH4+|Ammonium|Ammonia|NH3	C01342|C00014	H4N	1
cpd00014_c0	UDP	udp	Uridine 5'-diphosphate|UDP	C00015	C9H12N2O12P2	-2
cpd00015_c0	FAD	fad	Flavinadeninedinucleotideoxidized|Flavin adenine dinucleotide oxidized|Flavin adenine dinucleotide|FAD	C00016	C27H31N9O15P2	-2
cpd00016_c0	Pyridoxal phosphate	pydx5p	Pyridoxal 5'-phosphate|Pyridoxal 5-phosphate|Pyridoxal phosphate	C00018	C8H9NO6P	-1
cpd00017_c0	S-Adenosyl-L-methionine	amet	SAM|AdoMet|Acylcarnitine|S-Adenosylmethionine|S-Adenosyl-L-methionine	C00019	C15H23N6O5S	1
cpd00018_c0	AMP	amp	Adenosine 5'-phosphate|5'-Adenosine monophosphate|5'-Adenylic acid|5'-AMP|Adenylate|Adenylic acid|Adenosine 5'-monophosphate|AMP	C00020	C10H13N5O7P	-1
cpd00019_c0	S-Adenosyl-homocysteine	ahcys	s-adenosyl-homocysteine|S-Adenosylhomocysteine|S-Adenosyl-L-homocysteine	C00021	C14H20N6O5S	0
cpd00020_c0	Pyruvate	pyr	Pyroracemic acid|2-Oxopropanoic acid|2-Oxopropanoate|Pyruvic acid|Pyruvate	C00022	C3H3O3	-1
cpd00021_c0	Fe2+	fe2	Iron	C00023	Fe	0
cpd00022_c0	Acetyl-CoA	accoa	Acetyl coenzyme A|Acetyl-CoA	C00024	C23H35N7O17P3S	-3
cpd00023_c0	L-Glutamate	glu-L	DL-Glutaminic acid|DL-Glutamate|2-Aminoglutaric acid|Glutaminic acid|Glutamate|GLU|L-Glutaminic acid|L-Glutamic acid|L-Glutamate	C00025|C00302	C5H8NO4	-1
cpd00024_c0	2-Oxoglutarate	akg	alpha-Ketoglutaric acid|2-Ketoglutaric acid|Oxoglutaric acid|2-Oxoglutarate	C00026	C5H4O5	-2
cpd00025_c0	H2O2	h2o2	Hydrogenperoxide|Oxydol|Hydrogen peroxide|H2O2	C00027	H2O2	0
cpd00026_c0	UDP-glucose	udpg	UDP-alpha-D-glucose|Uridine diphosphate glucose|UDP-D-glucose|UDPglucose|UDP-glucose	C00029	C15H22N2O17P2	-2
cpd00027_c0	D-Glucose	glc-D	Glucose|Dextrose|alpha-D-Glucose|Grape sugar|D-Glucose	C00267|C00293|C00031	C6H12O6	0
cpd00028_c0	Heme	pheme	Protoheme IX|Heme B|Protoheme|Haem|Heme	C00032	C34H30FeN4O4	-2
